Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,print,print
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,java.util.List,list,java.util.List,list,size,size
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,print,print
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,java.util.List,list,java.util.List,list,get,get
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,print,print
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,java.util.List,list,java.util.List,list,get,get
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,java.util.List,list,java.util.List,list,get,get
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,print,print
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,print,print
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,print,print
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,print,print
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInferredSafe,is:inferred:safe,none,none,gradingTools.comp524f20.assignment1.WekaUtil,weka:util,gradingTools.comp524f20.assignment1.WekaUtil,weka:util,predictString,predict:string
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInferredSafe,is:inferred:safe,none,none,a2.ClassifierFactory,factory,@SocialDistanceClassifierFactory,social:distance:factory,getSingleton,get:singleton
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,isInferredSafe,is:inferred:safe,none,none,String,string,java.lang.String,string,equals,equals
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,compareSafetyComputations,compare:safety:computations,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,compareSafetyComputations,compare:safety:computations,none,none,Math,math,java.lang.Math,math,random,random
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,compareSafetyComputations,compare:safety:computations,none,none,Math,math,java.lang.Math,math,random,random
